angle, distance, x, y
255.375000, 0.390000, -0.098472, -0.377364
257.000000, 0.520000, -0.116975, -0.506672
258.812500, 0.490000, -0.095070, -0.480689
260.500000, 0.500000, -0.082524, -0.493143
262.125000, 0.500000, -0.068506, -0.495285
263.562500, 0.490000, -0.054938, -0.486910
265.250000, 0.430000, -0.035608, -0.428523
267.062500, 0.560000, -0.028698, -0.559264
268.687500, 0.330000, -0.007559, -0.329913
270.500000, 0.320000, 0.002792, -0.319988
272.187500, 0.350000, 0.013359, -0.349745
273.812500, 0.470000, 0.031251, -0.468960
275.437500, 0.540000, 0.051170, -0.537570
277.062500, 0.770000, 0.094673, -0.764158
278.750000, 0.700000, 0.106486, -0.691853
280.562500, 0.660000, 0.120983, -0.648817
282.187500, 0.670000, 0.141445, -0.654900
284.000000, 0.640000, 0.154830, -0.620989
285.500000, 0.690000, 0.184394, -0.664905
287.312500, 0.720000, 0.214260, -0.687381
288.937500, 0.770000, 0.249893, -0.728322
290.750000, 0.720000, 0.255090, -0.673297
292.625000, 0.010000, 0.003847, -0.009230
294.250000, 0.330000, 0.135537, -0.300881
296.062500, 0.240000, 0.105444, -0.215596
297.687500, 0.290000, 0.134748, -0.256794
299.562500, 0.240000, 0.118409, -0.208756
301.187500, 0.230000, 0.119103, -0.196760
303.000000, 0.280000, 0.152499, -0.234828
304.625000, 0.240000, 0.136369, -0.197493
306.500000, 0.270000, 0.160602, -0.217041
308.312500, 0.190000, 0.117791, -0.149082
310.125000, 0.220000, 0.141781, -0.168221
311.750000, 0.200000, 0.133176, -0.149211
313.625000, 0.200000, 0.137987, -0.144774
315.250000, 0.280000, 0.198852, -0.197124
317.062500, 0.170000, 0.124457, -0.115804
318.687500, 0.200000, 0.150224, -0.132033
320.562500, 0.280000, 0.216249, -0.177866
322.187500, 0.150000, 0.118503, -0.091962
324.000000, 0.230000, 0.186074, -0.135191
325.625000, 0.230000, 0.189833, -0.129860
327.500000, 0.340000, 0.286753, -0.182682
329.687500, 0.230000, 0.198556, -0.116085
331.500000, 0.300000, 0.263645, -0.143148
333.125000, 0.240000, 0.214079, -0.108491
334.750000, 0.240000, 0.217069, -0.102376
336.437500, 0.290000, 0.265821, -0.115927
338.250000, 0.350000, 0.325083, -0.129695
339.875000, 0.330000, 0.309852, -0.113543
341.687500, 0.370000, 0.351262, -0.116254
343.375000, 0.320000, 0.306623, -0.091554
345.187500, 0.420000, 0.406042, -0.107376
347.000000, 0.380000, 0.370261, -0.085481
348.625000, 0.390000, 0.382339, -0.076920
350.312500, 0.400000, 0.394296, -0.067310
351.937500, 0.420000, 0.415849, -0.058906
353.562500, 0.540000, 0.536595, -0.060544
355.375000, 0.550000, 0.548209, -0.044349
357.062500, 0.520000, 0.519317, -0.026648
358.875000, 5.580000, 5.578924, -0.109556
1.250000, 5.430000, 5.428708, 0.118455
3.062500, 5.480000, 5.472174, 0.292770
4.687500, 5.540000, 5.521470, 0.452735
6.562500, 5.560000, 5.523570, 0.635436
8.187500, 1.000000, 0.989807, 0.142413
10.000000, 0.860000, 0.846935, 0.149337
11.625000, 0.820000, 0.803180, 0.165234
13.312500, 0.900000, 0.875816, 0.207236
15.125000, 0.840000, 0.810901, 0.219178
16.750000, 0.880000, 0.842663, 0.253613
18.562500, 0.910000, 0.862659, 0.289688
20.250000, 0.900000, 0.844372, 0.311505
22.062500, 0.960000, 0.889704, 0.360593
23.687500, 0.890000, 0.815018, 0.357556
25.500000, 4.170000, 3.763781, 1.795231
27.187500, 3.900000, 3.469113, 1.781925
28.812500, 0.920000, 0.806105, 0.443389
30.437500, 3.900000, 3.362511, 1.975733
32.125000, 0.880000, 0.745263, 0.467956
33.937500, 0.860000, 0.713496, 0.480128
35.562500, 3.750000, 3.050556, 2.180965
37.375000, 3.830000, 3.043623, 2.324922
39.062500, 3.680000, 2.857369, 2.319017
40.875000, 3.520000, 2.661610, 2.303527
